<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220605;120000;29.631.3500000;29.716.7100000;29.569.3400000;29.705.0100000;5
20220605;130000;29.710.4000000;29.762.1300000;29.666.6700000;29.706.1900000;0
20220605;140000;29.712.6100000;29.732.0000000;29.620.0200000;29.631.3900000;0
20220605;150000;29.639.9600000;29.813.6400000;29.616.6700000;29.793.5500000;9
20220605;160000;29.794.6700000;29.953.2700000;29.771.9300000;29.929.1500000;25
20220605;170000;29.949.3700000;30.153.1800000;29.749.0800000;29.836.8400000;63
20220605;180000;29.841.8500000;30.105.1500000;29.823.0700000;30.003.3900000;10
20220605;190000;30.032.7600000;30.068.3900000;29.954.3000000;29.970.2300000;102
20220605;200000;29.981.5500000;30.079.9000000;29.938.8100000;30.043.3900000;0
20220605;210000;30.037.1900000;30.108.7600000;29.927.0000000;29.943.7200000;1
20220605;220000;29.927.5800000;29.960.2400000;29.790.6900000;29.939.6600000;3
20220605;230000;29.954.8700000;30.063.7900000;29.856.7400000;30.004.7700000;11
20220606;000000;30.004.1800000;30.030.0000000;29.867.6300000;29.888.9800000;1
20220606;010000;29.905.4600000;30.359.0800000;29.868.1600000;30.284.1400000;74
20220606;020000;30.287.3700000;30.895.0000000;30.287.3700000;30.804.8600000;134
20220606;030000;30.832.0100000;31.111.0000000;30.832.0100000;30.900.0000000;76
20220606;040000;30.915.7600000;31.246.5700000;30.905.2200000;31.236.7300000;74
20220606;050000;31.246.3600000;31.327.1100000;31.117.5700000;31.194.3200000;18
20220606;060000;31.195.1900000;31.257.2100000;31.125.2900000;31.146.7300000;12
20220606;070000;31.149.2500000;31.400.0000000;31.125.3600000;31.252.0500000;34
20220606;080000;31.261.3200000;31.351.5500000;31.051.7600000;31.274.9900000;115
20220606;090000;31.274.9900000;31.441.2900000;31.257.2600000;31.428.6900000;45
20220606;100000;31.464.9800000;31.535.2900000;31.356.5500000;31.460.0000000;21
20220606;110000;31.433.8500000;31.518.1200000;31.368.2000000;31.469.8100000;2
20220606;120000;31.457.0900000;31.562.6100000;31.301.6500000;31.375.2400000;69
20220606;130000;31.380.5600000;31.459.1000000;31.258.0000000;31.378.2900000;68
20220606;140000;31.381.1200000;31.502.6800000;31.235.3800000;31.421.4200000;40
20220606;150000;31.430.5000000;31.737.3100000;31.405.1200000;31.471.7100000;92
20220606;160000;31.482.8100000;31.539.9000000;31.136.4800000;31.519.3400000;142
20220606;170000;31.532.0500000;31.543.6800000;31.200.7700000;31.297.7900000;144
20220606;180000;31.296.4700000;31.347.7300000;31.017.1500000;31.332.3800000;25
20220606;190000;31.331.1000000;31.411.6100000;31.211.4400000;31.336.3000000;11
20220606;200000;31.321.5600000;31.463.5000000;31.194.0000000;31.441.7600000;44
